asset_id,campaign_id,asset_name,asset_type,file_size_mb,creation_date,status,creator,version,tags,description
179,47,Case Study - Content Marketing Campaign 47,Social Post,49.9,2023-12-10,Draft,Ryan Lynn,v1.4,"simply, author, like",Time economic high actually window research.
180,47,Email - Content Marketing Campaign 47,Social Post,12.73,2024-07-05,Review,Ray Boyd,v2.7,"home, which, view",Pick among visit minute education police.
181,47,White Paper - Content Marketing Campaign 47,Webinar,44.43,2024-05-15,Review,Cynthia Hamilton,v1.2,"some, once, how",Across among situation little other he become.
182,47,Infographic - Content Marketing Campaign 47,Social Post,5.02,2024-02-09,Draft,Matthew Miles,v1.2,"maintain, first, next",South just cover ready group care together magazine.
183,48,Landing Page - SEO Campaign 48,Case Study,27.37,2024-01-02,Archived,Gregory Oconnor,v3.9,"trial, never, attention",Last standard must law simply media.
184,48,Infographic - SEO Campaign 48,Blog Post,31.18,2023-11-12,Archived,Nathan Barrett,v5.6,"couple, raise, she",Party follow political book model at.
185,48,Infographic - SEO Campaign 48,Infographic,43.74,2023-09-07,Published,Andres May,v4.7,"moment, red, eight",Determine responsibility actually TV pretty up story life.
186,48,Blog Post - SEO Campaign 48,Webinar,28.12,2024-07-01,Published,Rebecca Brown,v5.4,"more, same, strong",War whether best rise mother.
187,48,White Paper - SEO Campaign 48,White Paper,26.55,2023-09-26,Review,Kristin Reese,v5.5,"purpose, reflect, interview",Coach Congress husband front citizen.
188,49,Social Post - Content Marketing Campaign 49,Webinar,45.17,2024-12-22,Approved,Jennifer Schultz,v3.9,"drive, nation, heart",Unit effect which language however risk work other military year.
189,49,Case Study - Content Marketing Campaign 49,Blog Post,15.37,2024-12-18,Approved,Rodney Norris,v3.8,"memory, number, occur",Also green catch happen old.
190,49,White Paper - Content Marketing Campaign 49,Case Study,40.65,2024-12-17,Published,Claudia Jones,v3.7,"common, stay, ready",Standard believe politics also space high sister two free they.
191,49,Email - Content Marketing Campaign 49,Email,46.55,2024-12-17,Review,Sarah Mcfarland,v4.0,"fight, American, music",Force recently check purpose young wife.
192,49,Landing Page - Content Marketing Campaign 49,Video,11.49,2024-12-19,Published,George Alvarez,v1.8,"human, be, maybe",Seven lose cup house number night.
193,49,Landing Page - Content Marketing Campaign 49,White Paper,12.49,2024-12-19,Published,Thomas Davis,v4.6,"half, couple, general",Show college glass start sort.
194,50,Infographic - Email Campaign 50,Social Post,2.72,2024-11-02,Review,Brittney Chandler,v1.1,"science, drug, per",Than star add really born late.
195,50,Blog Post - Email Campaign 50,Webinar,10.85,2024-10-20,Review,Nicole Dunn,v5.2,"reason, property, heavy",Analysis color exist smile peace apply pressure across home even.
196,50,Webinar - Email Campaign 50,Video,1.44,2024-11-04,Published,James Bray,v1.5,"machine, others, because",May leader unit again easy morning.
197,50,Webinar - Email Campaign 50,Social Post,19.97,2024-10-02,Approved,Heather Turner,v5.4,"speech, personal, these",Want we difficult game hotel.
198,50,Infographic - Email Campaign 50,Video,36.63,2024-10-19,Archived,Melissa Butler,v5.2,"interview, fine, painting",My deal catch must son television finally relate model.
199,50,Infographic - Email Campaign 50,Email,49.79,2024-11-09,Review,Krystal Moore,v1.8,"mouth, rest, contain",Risk she they increase in kitchen.
